,DetectedState,DateAnnounced
275,Maharashtra,20/04/2020
276,Maharashtra,20/04/2020
277,Maharashtra,20/04/2020
278,Maharashtra,20/04/2020
279,Maharashtra,20/04/2020
280,Maharashtra,20/04/2020
281,Maharashtra,20/04/2020
282,Maharashtra,20/04/2020
283,Maharashtra,20/04/2020
284,Maharashtra,20/04/2020
285,Maharashtra,20/04/2020
286,Maharashtra,20/04/2020
287,Maharashtra,20/04/2020
288,Maharashtra,20/04/2020
289,Maharashtra,20/04/2020
290,Maharashtra,20/04/2020
291,Maharashtra,20/04/2020
292,Maharashtra,20/04/2020
293,Maharashtra,20/04/2020
294,Maharashtra,20/04/2020
295,Maharashtra,20/04/2020
296,Maharashtra,20/04/2020
297,Maharashtra,20/04/2020
298,Maharashtra,20/04/2020
299,Maharashtra,20/04/2020
300,Maharashtra,20/04/2020
301,Maharashtra,20/04/2020
302,Maharashtra,20/04/2020
303,Maharashtra,20/04/2020
304,Maharashtra,20/04/2020
305,Maharashtra,20/04/2020
306,Maharashtra,20/04/2020
307,Maharashtra,20/04/2020
308,Maharashtra,20/04/2020
309,Maharashtra,20/04/2020
310,Maharashtra,20/04/2020
311,Maharashtra,20/04/2020
312,Maharashtra,20/04/2020
313,Maharashtra,20/04/2020
314,Maharashtra,20/04/2020
315,Maharashtra,20/04/2020
316,Maharashtra,20/04/2020
317,Maharashtra,20/04/2020
318,Maharashtra,20/04/2020
319,Maharashtra,20/04/2020
320,Maharashtra,20/04/2020
321,Maharashtra,20/04/2020
322,Maharashtra,20/04/2020
323,Maharashtra,20/04/2020
324,Maharashtra,20/04/2020
325,Maharashtra,20/04/2020
326,Maharashtra,20/04/2020
327,Maharashtra,20/04/2020
328,Maharashtra,20/04/2020
329,Maharashtra,20/04/2020
330,Maharashtra,20/04/2020
331,Maharashtra,20/04/2020
332,Maharashtra,20/04/2020
333,Maharashtra,20/04/2020
334,Maharashtra,20/04/2020
335,Maharashtra,20/04/2020
336,Maharashtra,20/04/2020
337,Maharashtra,20/04/2020
338,Maharashtra,20/04/2020
339,Maharashtra,20/04/2020
340,Maharashtra,20/04/2020
341,Maharashtra,20/04/2020
342,Maharashtra,20/04/2020
343,Maharashtra,20/04/2020
344,Maharashtra,20/04/2020
345,Maharashtra,20/04/2020
346,Maharashtra,20/04/2020
347,Maharashtra,20/04/2020
348,Maharashtra,20/04/2020
349,Maharashtra,20/04/2020
350,Maharashtra,20/04/2020
351,Maharashtra,20/04/2020
352,Maharashtra,20/04/2020
353,Maharashtra,20/04/2020
354,Maharashtra,20/04/2020
355,Maharashtra,20/04/2020
356,Maharashtra,20/04/2020
357,Maharashtra,20/04/2020
358,Maharashtra,20/04/2020
359,Maharashtra,20/04/2020
360,Maharashtra,20/04/2020
361,Maharashtra,20/04/2020
362,Maharashtra,20/04/2020
363,Maharashtra,20/04/2020
364,Maharashtra,20/04/2020
365,Maharashtra,20/04/2020
366,Maharashtra,20/04/2020
367,Maharashtra,20/04/2020
368,Maharashtra,20/04/2020
369,Maharashtra,20/04/2020
370,Maharashtra,20/04/2020
371,Maharashtra,20/04/2020
372,Maharashtra,20/04/2020
373,Maharashtra,20/04/2020
374,Maharashtra,20/04/2020
375,Maharashtra,20/04/2020
376,Maharashtra,20/04/2020
377,Maharashtra,20/04/2020
378,Maharashtra,20/04/2020
379,Maharashtra,20/04/2020
380,Maharashtra,20/04/2020
381,Maharashtra,20/04/2020
382,Maharashtra,20/04/2020
383,Maharashtra,20/04/2020
384,Maharashtra,20/04/2020
385,Maharashtra,20/04/2020
386,Maharashtra,20/04/2020
387,Maharashtra,20/04/2020
388,Maharashtra,20/04/2020
389,Maharashtra,20/04/2020
390,Maharashtra,20/04/2020
391,Maharashtra,20/04/2020
392,Maharashtra,20/04/2020
393,Maharashtra,20/04/2020
394,Maharashtra,20/04/2020
395,Maharashtra,20/04/2020
396,Maharashtra,20/04/2020
397,Maharashtra,20/04/2020
398,Maharashtra,20/04/2020
399,Maharashtra,20/04/2020
400,Maharashtra,20/04/2020
401,Maharashtra,20/04/2020
402,Maharashtra,20/04/2020
403,Maharashtra,20/04/2020
404,Maharashtra,20/04/2020
405,Maharashtra,20/04/2020
406,Maharashtra,20/04/2020
407,Maharashtra,20/04/2020
408,Maharashtra,20/04/2020
409,Maharashtra,20/04/2020
410,Maharashtra,20/04/2020
411,Maharashtra,20/04/2020
412,Maharashtra,20/04/2020
413,Maharashtra,20/04/2020
414,Maharashtra,20/04/2020
415,Maharashtra,20/04/2020
416,Maharashtra,20/04/2020
417,Maharashtra,20/04/2020
418,Maharashtra,20/04/2020
419,Maharashtra,20/04/2020
420,Maharashtra,20/04/2020
421,Maharashtra,20/04/2020
422,Maharashtra,20/04/2020
423,Maharashtra,20/04/2020
424,Maharashtra,20/04/2020
425,Maharashtra,20/04/2020
